"GEOID","Year","Units","WASL","HSPE","SBA","LIHTC_Units","PUB_Units","Test_Level","Treated","Treatment","Control","Pre_Treat","Post_Treatment"
5304620,2007,0,1,0,0,0,0,2.81,0,0,1,0,0
5304620,2008,0,1,0,0,0,0,2.41,0,0,1,0,0
5304620,2009,0,0,1,0,0,0,2.66,0,0,1,0,0
5304620,2010,0,0,1,0,0,0,2.41,0,0,1,0,0
5304620,2011,0,0,1,0,0,0,2.38,0,0,1,0,0
5304620,2012,0,0,1,0,0,0,2.52,0,0,1,0,0
5304620,2013,0,0,1,0,0,0,2.95,0,0,1,0,0
5304620,2014,0,0,1,0,0,0,0,0,0,1,0,0
5304620,2015,0,0,0,1,0,0,2.53,0,0,1,0,0
5304800,2002,0,1,0,0,0,0,1.41,0,0,1,0,0
5304800,2003,0,1,0,0,0,0,1.82,0,0,1,0,0
5304800,2004,0,1,0,0,0,0,1.73,0,0,1,0,0
5304800,2005,0,1,0,0,0,0,1.78,0,0,1,0,0
5304800,2006,0,1,0,0,0,0,0,0,0,1,0,0
5304800,2007,0,1,0,0,0,0,1.7,0,0,1,0,0
5304800,2008,0,1,0,0,0,0,1.75,0,0,1,0,0
5304800,2009,0,0,1,0,0,0,2.12,0,0,1,0,0
5304800,2010,0,0,1,0,0,0,2.31,0,0,1,0,0
5304800,2011,0,0,1,0,0,0,1.47,0,0,1,0,0
5304800,2012,0,0,1,0,0,0,1.69,0,0,1,0,0
5304800,2013,0,0,1,0,0,0,2.45,0,0,1,0,0
5304800,2014,0,0,1,0,0,0,2.37,0,0,1,0,0
5304800,2015,0,0,0,1,0,0,1.92,0,0,1,0,0
5304830,2002,0,1,0,0,0,0,1.93,0,0,1,0,0
5304830,2003,0,1,0,0,0,0,1.54,0,0,1,0,0
5304830,2004,0,1,0,0,0,0,1.35,0,0,1,0,0
5304830,2005,0,1,0,0,0,0,2.21,0,0,1,0,0
5304830,2006,0,1,0,0,0,0,1.97,0,0,1,0,0
5304830,2007,0,1,0,0,0,0,2.01,0,0,1,0,0
5304830,2008,0,1,0,0,0,0,1.59,0,0,1,0,0
5304830,2009,0,0,1,0,0,0,1.79,0,0,1,0,0
5304830,2010,0,0,1,0,0,0,2,0,0,1,0,0
5304830,2011,0,0,1,0,0,0,2.35,0,0,1,0,0
5304830,2012,0,0,1,0,0,0,1.8,0,0,1,0,0
5304830,2013,0,0,1,0,0,0,2.03,0,0,1,0,0
5304830,2014,0,0,1,0,0,0,2.18,0,0,1,0,0
5304830,2015,0,0,0,1,0,0,2,0,0,1,0,0
5304950,2002,0,1,0,0,0,0,2.04,0,0,1,0,0
5304950,2003,0,1,0,0,0,0,2.82,0,0,1,0,0
5304950,2004,0,1,0,0,0,0,2.57,0,0,1,0,0
5304950,2005,0,1,0,0,0,0,2.83,0,0,1,0,0
5304950,2006,0,1,0,0,0,0,2.71,0,0,1,0,0
5304950,2007,0,1,0,0,0,0,2.63,0,0,1,0,0
5304950,2008,0,1,0,0,0,0,2.68,0,0,1,0,0
5304950,2009,0,0,1,0,0,0,2.63,0,0,1,0,0
5304950,2010,0,0,1,0,0,0,2.28,0,0,1,0,0
5304950,2011,0,0,1,0,0,0,2.75,0,0,1,0,0
5304950,2012,0,0,1,0,0,0,2.48,0,0,1,0,0
5304950,2013,0,0,1,0,0,0,2.88,0,0,1,0,0
5304950,2014,0,0,1,0,0,0,0,0,0,1,0,0
5304950,2015,0,0,0,1,0,0,2.22,0,0,1,0,0
5305020,2002,0,1,0,0,0,0,1.99,0,0,1,0,0
5305020,2003,0,1,0,0,0,0,2.51,0,0,1,0,0
5305020,2004,0,1,0,0,0,0,2.4,0,0,1,0,0
5305020,2005,0,1,0,0,0,0,2.91,0,0,1,0,0
5305020,2006,0,1,0,0,0,0,2.8,0,0,1,0,0
5305020,2007,0,1,0,0,0,0,2.68,0,0,1,0,0
5305020,2008,0,1,0,0,0,0,3.04,0,0,1,0,0
5305020,2009,0,0,1,0,0,0,2.81,0,0,1,0,0
