"","Year","GEOID","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10","DistrictID","District","Grade","Total_Meeting_Standard","Share_Meeting_Standard","Level","Test"
"181","2002","5302940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27402,"Franklin Pierce School District",7,124,25.32666667,1.74,"WASL"
"182","2002","5302970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32358,"Freeman School District",7,28,33.29,1.98,"WASL"
"183","2002","5303000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38302,"Garfield School District",7,11,42.29,2.22,"WASL"
"184","2002","5303030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20401,"Glenwood School District",7,0,NA,NA,"WASL"
"185","2002","5303090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20404,"Goldendale School District",7,15,15.9,1.49,"WASL"
"186","2002","5303130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13301,"Grand Coulee Dam School District",7,8,11.5,1.41,"WASL"
"187","2002","5303150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39200,"Grandview School District",7,19,8.09,1.29,"WASL"
"188","2002","5303180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39204,"Granger School District",7,0,NA,NA,"WASL"
"189","2002","5303210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31332,"Granite Falls School District",7,51,25,1.75,"WASL"
"190","2002","5303240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23054,"Grapeview School District",7,10,52.6,2.26,"WASL"
"191","2002","5303300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6103,"Green Mountain School District",7,2,14.19,1.57,"WASL"
"192","2002","5303330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34324,"Griffin School District",7,33,47.79,2.11,"WASL"
"193","2002","5303360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22204,"Harrington School District",7,15,75,2.95,"WASL"
"194","2002","5303440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13151,"Coulee-Hartline School District",7,2,16.6,1.5,"WASL"
"195","2002","5303510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39203,"Highland School District",7,18,18.69,1.59,"WASL"
"196","2002","5303540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17401,"Highline School District",7,260,24.36333333,1.7,"WASL"
