"","GEOID","Year","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10"
"76","5300660","2012","946","2351 Winfield Ave","Bremerton","WA","98310","PUB",12,"16","53","00660","Bremerton School District"
"77","5300660","2012","954","4914 Driftwood St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"78","5300660","2011","960","175 Oyster Bay Ave S","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"79","5300660","2011","973","4416 Conch St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"80","5300660","2012","980","4832 Driftwood St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"81","5300660","2013","1010","3284 Rickey Rd NE Apt A102","Bremerton","WA","98310","PUB",8,"16","53","00660","Bremerton School District"
"82","5300660","2011","1013","4403 Bay Vista Blvd","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"83","5300660","2011","1017","117 Oyster Bay Ave S","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"84","5300660","2011","1022","4430 Conch St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"85","5300660","2012","1046","4848 Bay Vista Blvd","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"86","5300660","2011","1075","4403 Abalone St","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"87","5300660","2013","1101","3284 Rickey Rd NE Apt B103","Bremerton","WA","98310","PUB",8,"16","53","00660","Bremerton School District"
"88","5300660","2012","1104","4816 Driftwood St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"89","5300660","2012","1112","4858 Driftwood St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"90","5300660","2011","1140","105 Oyster Bay Ave S","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"91","5300660","2016","1152","1307 Wheaton Way","Bremerton","WA","98310","PUB",30,"16","53","00660","Bremerton School District"
"92","5300660","2011","1157","4414 Conch St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"93","5300660","2011","1180","4452 Conch St","Bremerton","WA","98312","PUB",7,"16","53","00660","Bremerton School District"
"94","5300660","2011","1199","4419 Conch St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"95","5300660","2013","1233","3284 Rickey Rd NE Apt C101","Bremerton","WA","98310","PUB",8,"16","53","00660","Bremerton School District"
"96","5300660","2011","1239","4403 Conch St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"97","5300780","2002","25","20340 SANCHEZ LN","BURLINGTON","WA","98233","LIHTC",51,"20","53","00780","Burlington-Edison School District"
"98","5300780","2008","235","20282 LAFAYETTE RD","BURLINGTON","WA","98233","LIHTC",30,"20","53","00780","Burlington-Edison School District"
"99","5300780","2013","431","308 WOODGATE PL","BURLINGTON","WA","98233","LIHTC",40,"20","53","00780","Burlington-Edison School District"
"100","5301080","2001","83","9701 DANWOOD LN NW","SILVERDALE","WA","98383","LIHTC",39,"28","53","01080","Central Kitsap School District"
"101","5301080","2007","256","3291 NW TEDS FARM ST","SILVERDALE","WA","98383","LIHTC",240,"28","53","01080","Central Kitsap School District"
"102","5301080","2004","378","2500 NE MCWILLIAMS RD","BREMERTON","WA","98311","LIHTC",172,"28","53","01080","Central Kitsap School District"
"103","5301080","2007","481","110 NE BROOKDALE LN","BREMERTON","WA","98311","LIHTC",86,"28","53","01080","Central Kitsap School District"
"104","5301110","2001","27","9817 E SIXTH AVE","SPOKANE VALLEY","WA","99206","LIHTC",26,"29","53","01110","Central Valley School District"
"105","5301110","2002","43","504 N MCDONALD RD","SPOKANE VALLEY","WA","99216","LIHTC",82,"29","53","01110","Central Valley School District"
"106","5301110","2002","46","16010 E VALLEYWAY AVE","SPOKANE VALLEY","WA","99037","LIHTC",50,"29","53","01110","Central Valley School District"
"107","5301110","2000","63","9717 E SIXTH AVE","SPOKANE VALLEY","WA","99206","LIHTC",36,"29","53","01110","Central Valley School District"
"108","5301110","2000","65","9815 E SIXTH AVE","SPOKANE VALLEY","WA","99206","LIHTC",26,"29","53","01110","Central Valley School District"
"109","5301110","2014","196","225 S FARR RD","SPOKANE VALLEY","WA","99206","LIHTC",24,"29","53","01110","Central Valley School District"
"110","5301110","2002","239","14303 E SPRAGUE AVE","SPOKANE VALLEY","WA","99216","LIHTC",25,"29","53","01110","Central Valley School District"
"111","5301110","2013","286","25000 E HAWKSTONE LOOP","LIBERTY LAKE","WA","99019","LIHTC",51,"29","53","01110","Central Valley School District"
"112","5301110","2004","299","111 S TSCHIRLEY RD","SPOKANE VALLEY","WA","99016","LIHTC",26,"29","53","01110","Central Valley School District"
"113","5301110","2005","322","14303 E SPRAGUE AVE","SPOKANE VALLEY","WA","99216","LIHTC",8,"29","53","01110","Central Valley School District"
"114","5301110","2009","335","24950 E HAWKSTONE LOOP","LIBERTY LAKE","WA","99019","LIHTC",60,"29","53","01110","Central Valley School District"
"115","5301110","2008","386","25000 E HAWKSTONE LOOP","LIBERTY LAKE","WA","99019","LIHTC",75,"29","53","01110","Central Valley School District"
"116","5301110","2004","395","107 S TSCHIRLEY RD","SPOKANE VALLEY","WA","99016","LIHTC",38,"29","53","01110","Central Valley School District"
"117","5301140","2002","45","2804 RUSSELL RD","CENTRALIA","WA","98531","LIHTC",20,"30","53","01140","Centralia School District"
"118","5301140","2010","126","2613 COOKS HILL RD","CENTRALIA","WA","98531","LIHTC",50,"30","53","01140","Centralia School District"
"119","5301140","2011","173","3115 IVES RD","CENTRALIA","WA","98531","LIHTC",74,"30","53","01140","Centralia School District"
"120","5301140","2007","228","2802 RUSSELL RD","CENTRALIA","WA","98531","LIHTC",24,"30","53","01140","Centralia School District"
"121","5301140","2007","230","1013 SCAMMON CREEK RD","CENTRALIA","WA","98531","LIHTC",52,"30","53","01140","Centralia School District"
"122","5301140","2013","287","1429 JOHNSON RD","CENTRALIA","WA","98531","LIHTC",38,"30","53","01140","Centralia School District"
"123","5301140","2005","301","1809 N PEARL ST","CENTRALIA","WA","98531","LIHTC",45,"30","53","01140","Centralia School District"
"124","5301140","2004","397","111 VIRGINIA DR","CENTRALIA","WA","98531","LIHTC",36,"30","53","01140","Centralia School District"
"125","5301140","2007","448","1401 JOHNSON RD","CENTRALIA","WA","98531","LIHTC",68,"30","53","01140","Centralia School District"
"126","5301140","2004","510","1101 SCAMMON CREEK RD","CENTRALIA","WA","98531","LIHTC",50,"30","53","01140","Centralia School District"
"127","5301140","2005","515","2802 RUSSELL RD","CENTRALIA","WA","98531","LIHTC",26,"30","53","01140","Centralia School District"
"128","5301170","2008","316","1590 N NATIONAL AVE","CHEHALIS","WA","98532","LIHTC",150,"31","53","01170","Chehalis School District"
"129","5301230","2007","280","13520 W SIXTH AVE","AIRWAY HEIGHTS","WA","99001","LIHTC",50,"32","53","01230","Cheney School District"
"130","5301230","2011","408","13526 W SIXTH AVE","AIRWAY HEIGHTS","WA","99001","LIHTC",51,"32","53","01230","Cheney School District"
"131","5301230","2006","444","13513 W SIXTH AVE","AIRWAY HEIGHTS","WA","99001","LIHTC",50,"32","53","01230","Cheney School District"
"132","5301290","2011","115","61 GARDEN CT RD","PORT HADLOCK","WA","98339","LIHTC",39,"34","53","01290","Chimacum School District"
"133","5301350","2002","350","400 DENNY AVE","CLE ELUM","WA","98922","LIHTC",26,"36","53","01350","Cle Elum-Roslyn School District"
"134","5301410","2001","31","5228 112TH ST SW","LAKEWOOD","WA","98499","LIHTC",168,"37","53","01410","Clover Park School District"
"135","5301410","2007","258","3615 112TH ST SW","LAKEWOOD","WA","98499","LIHTC",120,"37","53","01410","Clover Park School District"
"136","5301410","2002","353","3502 92ND ST S","LAKEWOOD","WA","98499","LIHTC",107,"37","53","01410","Clover Park School District"
"137","5301410","2006","543","2425 96TH ST S","TACOMA","WA","98444","LIHTC",288,"37","53","01410","Clover Park School District"
"138","5301410","2009","676","4309 Everett St","Tacoma","WA","98404","PUB",2,"37","53","01410","Clover Park School District"
"139","5301410","2009","821","4312 Everett St","Tacoma","WA","98404","PUB",4,"37","53","01410","Clover Park School District"
"140","5301410","2009","845","4263 Everett St","Tacoma","WA","98404","PUB",2,"37","53","01410","Clover Park School District"
"141","5301410","2009","1032","4304 Everett St","Tacoma","WA","98404","PUB",3,"37","53","01410","Clover Park School District"
"142","5301410","2009","1076","4268 Everett St","Tacoma","WA","98404","PUB",2,"37","53","01410","Clover Park School District"
"143","5301410","2009","1111","4264 Everett St","Tacoma","WA","98404","PUB",2,"37","53","01410","Clover Park School District"
"144","5301410","2009","1216","4303 Everett St","Tacoma","WA","98404","PUB",2,"37","53","01410","Clover Park School District"
"145","5301470","2000","87","1297 SE CREEKSIDE DR","COLLEGE PLACE","WA","99324","LIHTC",25,"39","53","01470","College Place School District"
"146","5301470","2011","342","165 LABOR CAMP RD","WALLA WALLA","WA","99362","LIHTC",59,"39","53","01470","College Place School District"
"147","5301470","2014","501","165 LABOR CAMP RD","WALLA WALLA","WA","99362","LIHTC",68,"39","53","01470","College Place School District"
"148","5301800","2007","470","204 N MAIN ST","COUPEVILLE","WA","98239","LIHTC",24,"48","53","01800","Coupeville School District"
