GEOID10,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Other,Sh_Other
5310400,2013,869,634,0.729574223,235,0.270425777,456,357,0.782894737,99,0.277310924,50772.18302,1636,124,0.075794621,1221,0.746332518,291,0.177872861
5310501,2013,547,416,0.760511883,131,0.239488117,277,197,0.711191336,80,0.406091371,56965.49339,1165,47,0.040343348,1013,0.869527897,105,0.090128755
5310502,2013,664,461,0.694277108,203,0.305722892,278,208,0.748201439,70,0.336538462,66551.66731,1212,45,0.037128713,1045,0.862211221,122,0.100660066
5310503,2013,495,422,0.852525253,73,0.147474747,312,238,0.762820513,74,0.31092437,61887.37687,1119,50,0.044682752,978,0.873994638,91,0.081322609
5310504,2013,505,358,0.708910891,147,0.291089109,284,243,0.855633803,41,0.16872428,73130.34656,1076,57,0.052973978,946,0.879182156,73,0.067843866
5310600,2013,904,587,0.649336283,317,0.350663717,436,356,0.816513761,80,0.224719101,60245.71174,1683,146,0.086749851,1423,0.845513963,114,0.067736185
5310701,2013,374,257,0.687165775,117,0.312834225,239,184,0.769874477,55,0.298913043,73029.57396,951,271,0.284963197,628,0.660357518,52,0.054679285
5310702,2013,381,291,0.763779528,90,0.236220472,252,200,0.793650794,52,0.26,80668.25575,959,145,0.151199166,743,0.774765381,71,0.074035454
5310703,2013,526,326,0.619771863,200,0.380228137,260,212,0.815384615,48,0.226415094,66790.05249,1079,184,0.170528267,810,0.750695088,85,0.078776645
5310800,2013,646,388,0.600619195,258,0.399380805,333,267,0.801801802,66,0.247191011,56694.03983,1337,345,0.258040389,939,0.702318624,53,0.039640987
5310901,2013,438,267,0.609589041,171,0.390410959,239,175,0.732217573,64,0.365714286,57768.01928,980,324,0.330612245,606,0.618367347,50,0.051020408
5310902,2013,475,256,0.538947368,219,0.461052632,342,270,0.789473684,72,0.266666667,54109.58042,1362,701,0.514684288,510,0.374449339,151,0.110866373
5311000,2013,738,563,0.762872629,175,0.237127371,416,345,0.829326923,71,0.205797101,54894.0389,1466,94,0.064120055,1270,0.866302865,102,0.06957708
5311101,2013,558,406,0.727598566,152,0.272401434,276,192,0.695652174,84,0.4375,61399.50936,1142,132,0.11558669,915,0.801225919,95,0.083187391
5311102,2013,444,366,0.824324324,78,0.175675676,293,231,0.788395904,62,0.268398268,77970.02184,1058,75,0.070888469,877,0.828922495,106,0.100189036
5311103,2013,401,320,0.798004988,81,0.201995012,284,231,0.813380282,53,0.229437229,84157.89323,1023,64,0.062561095,808,0.789833822,151,0.147605083
5311104,2013,472,401,0.849576271,71,0.150423729,356,313,0.879213483,43,0.137380192,81355.63492,1282,37,0.028861154,1184,0.923556942,61,0.047581903
5311200,2013,636,471,0.740566038,165,0.259433962,310,250,0.806451613,60,0.24,58286.86588,1204,83,0.068936877,1048,0.870431894,73,0.060631229
5311300,2013,770,526,0.683116883,244,0.316883117,368,275,0.747282609,93,0.338181818,55240.4481,1444,111,0.076869806,1118,0.774238227,215,0.148891967
5311401,2013,610,447,0.732786885,163,0.267213115,315,251,0.796825397,64,0.25498008,71083.85687,1253,103,0.082202713,952,0.759776536,198,0.15802075
5311402,2013,444,348,0.783783784,96,0.216216216,305,249,0.816393443,56,0.224899598,78470.37817,1028,80,0.077821012,808,0.785992218,140,0.13618677
5311501,2013,601,400,0.665557404,201,0.334442596,266,185,0.695488722,81,0.437837838,60895.42017,1221,106,0.086814087,812,0.665028665,303,0.248157248
5311502,2013,502,378,0.752988048,124,0.247011952,295,250,0.847457627,45,0.18,97065.9093,1067,49,0.045923149,901,0.844423618,117,0.109653233
5311503,2013,478,279,0.583682008,199,0.416317992,250,195,0.78,55,0.282051282,69648.34239,1037,118,0.113789778,679,0.654773385,240,0.231436837
5311504,2013,486,319,0.656378601,167,0.343621399,281,209,0.743772242,72,0.344497608,61879.14044,1100,141,0.128181818,657,0.597272727,302,0.274545455
5311505,2013,741,603,0.813765182,138,0.186234818,508,411,0.809055118,97,0.236009732,86749.52535,1839,129,0.070146819,1356,0.737357259,354,0.192495922
